词语	强度	极性
脏乱	strongsubj	negative
糟报	midsubj	negative
早衰	midsubj	negative
责备	midsubj	negative
贼眼	midsubj	negative
战祸	midsubj	negative
招灾	midsubj	negative
折辱	midsubj	negative
中山狼	midsubj	negative
清峻	midsubj	0
清莹	midsubj	positive
轻倩	midsubj	positive
晴丽	midsubj	positive
求索	weaksubj	positive
热潮	midsubj	positive
仁政	midsubj	positive
荣名	midsubj	positive
柔腻	midsubj	positive
瑞雪	midsubj	positive
擅名	strongsubj	positive
神采	midsubj	positive
省便	midsubj	positive
盛开	midsubj	positive
盛誉	midsubj	positive
诗仙	strongsubj	positive
爽脆	midsubj	positive
素洁	weaksubj	positive
诪张	midsubj	negative
株连	strongsubj	negative
坠毁	midsubj	negative
滋生	midsubj	negative
自恃	midsubj	negative
走后门	midsubj	negative
阻力	weaksubj	negative
罪状	strongsubj	negative
做戏	strongsubj	negative
甜头	midsubj	positive
头名	midsubj	positive
婉妙	weaksubj	positive
温淑	weaksubj	positive
稳厚	weaksubj	positive
沃壤	midsubj	positive
无上	midsubj	positive
喜人	midsubj	positive
先贤	midsubj	positive
鲜妍	midsubj	positive
相称	midsubj	positive
骁骑	weaksubj	positive
新巧	midsubj	positive
新意	midsubj	positive
信奉	midsubj	positive
急智	weaksubj	positive
技艺	weaksubj	positive
雄劲	weaksubj	positive
雄肆	weaksubj	positive
秀俊	midsubj	positive
煦煦	midsubj	positive
勋绩	midsubj	positive
雅淡	midsubj	positive
雅兴	midsubj	positive
严整	midsubj	positive
泱泱	midsubj	positive
怡悦	midsubj	positive
义诊	midsubj	positive
英发	midsubj	positive
英伟	midsubj	positive
莹润	weaksubj	positive
勇健	weaksubj	positive
优厚	midsubj	positive
幽雅	midsubj	positive
有识	midsubj	positive
友邻	midsubj	positive
玉人	midsubj	positive
元勋	midsubj	positive
佳句	strongsubj	positive
佳趣	midsubj	positive
兼爱	weaksubj	positive
坚守	strongsubj	positive
简雅	midsubj	positive
荐举	strongsubj	positive
见称	strongsubj	positive
见闻	weaksubj	positive
奖旗	weaksubj	positive
奖许	strongsubj	positive
姣丽	midsubj	positive
娇丽	midsubj	positive
骄子	midsubj	positive
解惑	weaksubj	positive
津要	midsubj	positive
金嗓子	weaksubj	positive
匀净	weaksubj	positive
赞词	weaksubj	positive
真纯	weaksubj	positive
箴言	midsubj	positive
珍玩	strongsubj	positive
正理	midsubj	positive
指导	weaksubj	positive
至理	strongsubj	positive
致敬	midsubj	positive
智多星	midsubj	positive
忠魂	strongsubj	positive
主力军	midsubj	positive
准绳	midsubj	positive
卓特	strongsubj	positive
进益	midsubj	positive
奏凯	midsubj	positive
尊服	weaksubj	positive
尽瘁	midsubj	positive
精白	weaksubj	positive
精洁	strongsubj	positive
精妙	midsubj	positive
精髓	strongsubj	positive
精要	weaksubj	positive
晶洁	midsubj	positive
